seizure_id,incident_id,item_category,item,quantity,unit,estimated_value_inr,seized_from_person_id
SZ000375,INC000869,WEAPON,AK-series rifle,4,nos,117869,P000403
SZ000376,INC000870,CASH,Indian currency,4816455,INR,0,P000989
SZ000377,INC000873,CONTRABAND,Gold biscuits,43,nos,36609267,P000582
SZ000378,INC000878,CONTRABAND,Semi-finished frames,43,nos,2025547,P000479
SZ000379,INC000878,CASH,Indian currency,14347713,INR,0,P000479
SZ000380,INC000880,CASH,Indian currency,1186492,INR,0,P000542
SZ000381,INC000891,CONTRABAND,Gold biscuits,11,nos,27618296,P000346
SZ000382,INC000895,WEAPON,.32 bore revolver,6,nos,121498,P000918
SZ000383,INC000895,CASH,Indian currency,7334290,INR,0,P000918
SZ000384,INC000902,CONTRABAND,Live cartridges,49,nos,165338,P000785
SZ000385,INC000904,CONTRABAND,Intaglio plates,864287,INR face value,551722223,P000606
SZ000386,INC000906,CONTRABAND,Foreign cigarettes,8,nos,479206898,P000877
SZ000387,INC000910,CONTRABAND,Country-made pistols,42,nos,14241381,P000141
SZ000388,INC000910,WEAPON,Sword,5,nos,268926,P000141
SZ000389,INC000912,WEAPON,DBBL gun,1,nos,191020,P000154
SZ000390,INC000912,CASH,Indian currency,12832212,INR,0,P000154
SZ000391,INC000915,CONTRABAND,Opium,285,grams,102546231,P000647
SZ000392,INC000916,CASH,Indian currency,16397073,INR,0,P000109
SZ000393,INC000918,CONTRABAND,Elephant ivory,848.62,kg,612757227,P000869
SZ000394,INC000930,WEAPON,Improvised explosive material,1,nos,191776,P000086
SZ000395,INC000934,CASH,Indian currency,15905000,INR,0,P000554
SZ000396,INC000938,CASH,Indian currency,9068017,INR,0,P000152
SZ000397,INC000940,WEAPON,Improvised explosive material,4,nos,70359,P000517
SZ000398,INC000946,CASH,Indian currency,13986963,INR,0,P000330
SZ000399,INC000947,CASH,Indian currency,10402627,INR,0,P000037
SZ000400,INC000949,WEAPON,Air weapon,4,nos,103612,P000782
SZ000401,INC000950,WEAPON,.32 bore revolver,1,nos,57661,P000830
SZ000402,INC000950,CASH,Indian currency,13523883,INR,0,P000830
SZ000403,INC000954,CASH,Indian currency,13185647,INR,0,P000393
SZ000404,INC000956,CONTRABAND,Foreign cigarettes,7,nos,803699,P000872
SZ000405,INC000959,CASH,Indian currency,996488,INR,0,P000936
SZ000406,INC000960,CASH,Indian currency,2807967,INR,0,P000814
SZ000407,INC000962,WEAPON,Improvised explosive material,6,nos,36655,P000408
SZ000408,INC000962,CASH,Indian currency,10865643,INR,0,P000408
SZ000409,INC000963,CONTRABAND,Brown sugar,709,grams,10653980,P000651
SZ000410,INC000967,WEAPON,AK-series rifle,3,nos,56075,P000482
SZ000411,INC000969,WEAPON,Knife,1,nos,262944,P000497
SZ000412,INC000973,CASH,Indian currency,9525896,INR,0,P000846
SZ000413,INC000974,CASH,Indian currency,15552448,INR,0,P000695
SZ000414,INC000975,CASH,Indian currency,264967,INR,0,P000555
SZ000415,INC000978,CONTRABAND,Mobile phones,14,nos,1481893,P000868
SZ000416,INC000980,CASH,Indian currency,3840967,INR,0,P000763
SZ000417,INC000985,CONTRABAND,Country-made pistols,45,nos,1746660,P000767
SZ000418,INC000985,WEAPON,DBBL gun,6,nos,122035,P000767
SZ000419,INC000985,CASH,Indian currency,587533,INR,0,P000767
SZ000420,INC000989,CONTRABAND,Heroin,2.528,kg,10662059,P000147
SZ000421,INC000992,CONTRABAND,Semi-finished frames,56,nos,5931588,P000840
SZ000422,INC000994,WEAPON,DBBL gun,6,nos,108031,P000993
SZ000423,INC000996,CONTRABAND,Ganja,57,grams,16041693,P000134
SZ000424,INC000997,WEAPON,Improvised explosive material,3,nos,200952,P000403
SZ000425,INC001000,CONTRABAND,Cocaine,11.829,kg,651740544,P000097
SZ000426,INC001000,CASH,Indian currency,656416,INR,0,P000097
SZ000427,INC001001,CONTRABAND,Alprazolam tablets,554,grams,201447089,P000905
SZ000428,INC001004,WEAPON,.32 bore revolver,5,nos,293806,P000503
SZ000429,INC001005,CASH,Indian currency,4558488,INR,0,P000953
SZ000430,INC001007,CASH,Indian currency,1036883,INR,0,P000764
SZ000431,INC001008,CONTRABAND,Heroin,2.083,kg,125027657,P000972
SZ000432,INC001009,WEAPON,SBBL gun,2,nos,273833,P000057
SZ000433,INC001010,CONTRABAND,Live cartridges,39,nos,11941527,P000109
SZ000434,INC001010,WEAPON,AK-series rifle,5,nos,97900,P000109
SZ000435,INC001014,CASH,Indian currency,15403382,INR,0,P000115
SZ000436,INC001016,CASH,Indian currency,17749498,INR,0,P000848
SZ000437,INC001018,CASH,Indian currency,3928053,INR,0,P000709
SZ000438,INC001019,WEAPON,Country-made pistol (katta),6,nos,39443,P000057
SZ000439,INC001020,CASH,Indian currency,3968536,INR,0,P000221
SZ000440,INC001027,CASH,Indian currency,11458113,INR,0,P000174
SZ000441,INC001028,CONTRABAND,Chinese firecrackers,11,nos,1575104415,P000849
SZ000442,INC001031,WEAPON,DBBL gun,5,nos,187615,P000373
SZ000443,INC001033,CASH,Indian currency,12289122,INR,0,P000358
SZ000444,INC001036,CASH,Indian currency,12419126,INR,0,P000692
SZ000445,INC001037,CONTRABAND,Live cartridges,52,nos,16988627,P000799
SZ000446,INC001039,CONTRABAND,FICN Rs.500 notes,2984431,INR face value,396152017,P000593
SZ000447,INC001039,CASH,Indian currency,10411703,INR,0,P000593
SZ000448,INC001042,CASH,Indian currency,2609843,INR,0,P000849
SZ000449,INC001043,WEAPON,9mm pistol,6,nos,78161,P000803
SZ000450,INC001043,CASH,Indian currency,17062220,INR,0,P000803
SZ000451,INC001045,WEAPON,Knife,4,nos,215339,P000781
SZ000452,INC001047,WEAPON,Country-made pistol (katta),6,nos,170237,P000922
SZ000453,INC001048,CASH,Indian currency,14332717,INR,0,P000008
SZ000454,INC001050,CONTRABAND,Mephedrone (MD),344,grams,513075117,P000994
SZ000455,INC001052,CONTRABAND,Rifle barrels,32,nos,13173586,P000798
SZ000456,INC001052,WEAPON,.32 bore revolver,6,nos,43867,P000798
SZ000457,INC001054,CONTRABAND,Country-made pistols,54,nos,6472589,P000484
SZ000458,INC001054,WEAPON,Country-made pistol (katta),2,nos,95152,P000484
SZ000459,INC001055,CONTRABAND,Brown sugar,8.602,kg,2491279,P000104
SZ000460,INC001057,CASH,Indian currency,13536095,INR,0,P000497
SZ000461,INC001061,CASH,Indian currency,15093983,INR,0,P000681
SZ000462,INC001064,WEAPON,SBBL gun,1,nos,202054,P000379
SZ000463,INC001070,CONTRABAND,Rifle barrels,6,nos,9831774,P000142
SZ000464,INC001070,WEAPON,Country-made pistol (katta),1,nos,136290,P000142
SZ000465,INC001073,CONTRABAND,Charas,4.175,kg,717268942,P000625
SZ000466,INC001080,CASH,Indian currency,19546043,INR,0,P000741
SZ000467,INC001081,CONTRABAND,Gold biscuits,41,nos,2858161787,P000344
SZ000468,INC001081,CASH,Indian currency,12026201,INR,0,P000344
SZ000469,INC001082,CONTRABAND,Chinese firecrackers,24,nos,34125600,P000852
SZ000470,INC001085,CONTRABAND,Shahtoosh shawls,826.62,kg,331271237,P000873
SZ000471,INC001087,WEAPON,Country-made pistol (katta),2,nos,129488,P000010
SZ000472,INC001090,CASH,Indian currency,15738538,INR,0,P000747
SZ000473,INC001091,WEAPON,Machete (chopper),5,nos,284436,P000768
SZ000474,INC001091,CASH,Indian currency,13522439,INR,0,P000768
SZ000475,INC001094,CONTRABAND,Charas,8.27,kg,5022730,P000116
SZ000476,INC001096,WEAPON,Machete (chopper),1,nos,153774,P000370
SZ000477,INC001097,CASH,Indian currency,1122752,INR,0,P000744
SZ000478,INC001103,WEAPON,Country-made pistol (katta),1,nos,170913,P000972
SZ000479,INC001107,WEAPON,9mm pistol,6,nos,134585,P000982
SZ000480,INC001109,CASH,Indian currency,11050327,INR,0,P000454
SZ000481,INC001117,WEAPON,Machete (chopper),4,nos,143950,P000085
SZ000482,INC001120,WEAPON,SBBL gun,4,nos,133267,P000381
SZ000483,INC001121,CONTRABAND,Mobile phones,19,nos,37075648,P000868
SZ000484,INC001123,CONTRABAND,Alprazolam tablets,5.622,kg,15350742,P000139
SZ000485,INC001125,CASH,Indian currency,19341684,INR,0,P000358
SZ000486,INC001131,CASH,Indian currency,11466971,INR,0,P000506
SZ000487,INC001132,CONTRABAND,Live cartridges,5,nos,1123132,P000472
SZ000488,INC001134,WEAPON,Knife,5,nos,272726,P000826
SZ000489,INC001136,CASH,Indian currency,4737547,INR,0,P000502
SZ000490,INC001137,WEAPON,SBBL gun,3,nos,219040,P000991
SZ000491,INC001138,CASH,Indian currency,13935381,INR,0,P000745
SZ000492,INC001141,CONTRABAND,Heroin,772,grams,122989322,P000147
SZ000493,INC001141,CASH,Indian currency,3090747,INR,0,P000147
SZ000494,INC001145,CONTRABAND,Charas,223,grams,718809263,P000640
SZ000495,INC001148,CONTRABAND,Cocaine,4.369,kg,498718508,P000104
SZ000496,INC001149,CONTRABAND,Mobile phones,38,nos,1875983,P000948
SZ000497,INC001154,CASH,Indian currency,12475297,INR,0,P000430
SZ000498,INC001157,CONTRABAND,Alprazolam tablets,6.302,kg,511799575,P000142
SZ000499,INC001158,CASH,Indian currency,12985830,INR,0,P000589
SZ000500,INC001159,CASH,Indian currency,16917550,INR,0,P000796
SZ000501,INC001161,CONTRABAND,Tramadol capsules,684,grams,675545545,P000927
SZ000502,INC001161,CASH,Indian currency,17632151,INR,0,P000927
SZ000503,INC001167,CONTRABAND,Live cartridges,22,nos,8891635,P000518
SZ000504,INC001167,WEAPON,9mm pistol,3,nos,206463,P000518
SZ000505,INC001168,CASH,Indian currency,6374082,INR,0,P000021
SZ000506,INC001176,CONTRABAND,Rifle barrels,3,nos,5197952,P000151
SZ000507,INC001180,CONTRABAND,Rifle barrels,27,nos,17337639,P000507
SZ000508,INC001181,WEAPON,Sword,5,nos,54287,P000080
SZ000509,INC001183,CONTRABAND,Semi-finished frames,5,nos,18968344,P000103
SZ000510,INC001184,CASH,Indian currency,61093,INR,0,P000736
SZ000511,INC001185,CASH,Indian currency,1106679,INR,0,P000420
SZ000512,INC001188,WEAPON,SBBL gun,1,nos,95758,P000103
SZ000513,INC001188,CASH,Indian currency,12801324,INR,0,P000103
SZ000514,INC001191,WEAPON,.32 bore revolver,5,nos,257052,P000937
SZ000515,INC001192,CONTRABAND,Heroin,5.316,kg,6667787,P000150
SZ000516,INC001193,CONTRABAND,Charas,11.16,kg,11242813,P000150
SZ000517,INC001195,WEAPON,Machete (chopper),6,nos,185624,P000839
SZ000518,INC001196,WEAPON,Air weapon,2,nos,71874,P000920
SZ000519,INC001199,CASH,Indian currency,2039470,INR,0,P000720
SZ000520,INC001200,CASH,Indian currency,16254708,INR,0,P000893
SZ000521,INC001201,CASH,Indian currency,19992373,INR,0,P000666
SZ000522,INC001205,CASH,Indian currency,15150774,INR,0,P000813
SZ000523,INC001206,WEAPON,9mm pistol,6,nos,54006,P000172
SZ000524,INC001208,CONTRABAND,Betel nut (supari),50,nos,1159427,P000597
SZ000525,INC001209,CONTRABAND,Rifle barrels,2,nos,14668329,P000485
SZ000526,INC001209,WEAPON,Improvised explosive material,6,nos,89207,P000485
SZ000527,INC001209,CASH,Indian currency,1199937,INR,0,P000485
SZ000528,INC001217,CONTRABAND,Brown sugar,11.763,kg,9567164,P000917
SZ000529,INC001221,CONTRABAND,Charas,9.928,kg,149148328,P000626
SZ000530,INC001221,CASH,Indian currency,10211903,INR,0,P000626
SZ000531,INC001224,CONTRABAND,Live cartridges,17,nos,517845,P000166
SZ000532,INC001228,CASH,Indian currency,19948241,INR,0,P000902
SZ000533,INC001234,CASH,Indian currency,6119120,INR,0,P000996
SZ000534,INC001237,CONTRABAND,Rifle barrels,22,nos,1779592,P000487
SZ000535,INC001237,WEAPON,.32 bore revolver,6,nos,146284,P000487
SZ000536,INC001246,WEAPON,Air weapon,2,nos,280793,P000088
SZ000537,INC001246,CASH,Indian currency,1644803,INR,0,P000088
SZ000538,INC001247,WEAPON,9mm pistol,2,nos,50049,P000829
SZ000539,INC001249,CONTRABAND,Gold biscuits,42,nos,1273306,P000350
SZ000540,INC001250,WEAPON,Country-made pistol (katta),3,nos,288082,P000504
SZ000541,INC001253,CONTRABAND,Heroin,10.595,kg,577320369,P000921
SZ000542,INC001258,WEAPON,DBBL gun,4,nos,171368,P000892
SZ000543,INC001258,CASH,Indian currency,4129519,INR,0,P000892
SZ000544,INC001261,CONTRABAND,Brown sugar,1.84,kg,223633970,P000911
SZ000545,INC001261,CASH,Indian currency,12978829,INR,0,P000911
SZ000546,INC001262,WEAPON,Country-made pistol (katta),1,nos,291168,P000985
SZ000547,INC001263,CONTRABAND,Live cartridges,37,nos,1286668,P000173
SZ000548,INC001266,CONTRABAND,Mobile phones,2,nos,6843144,P000870
SZ000549,INC001269,WEAPON,SBBL gun,5,nos,29163,P000397
SZ000550,INC001274,CASH,Indian currency,11696242,INR,0,P000932
SZ000551,INC001275,CONTRABAND,Betel nut (supari),20,nos,30001716,P000858
SZ000552,INC001276,CONTRABAND,Star tortoises,437.18,kg,345778806,P000972
SZ000553,INC001277,CONTRABAND,Mephedrone (MD),640,grams,413525381,P000116
SZ000554,INC001278,WEAPON,DBBL gun,5,nos,296716,P000358
SZ000555,INC001278,CASH,Indian currency,7456617,INR,0,P000358
SZ000556,INC001280,WEAPON,.32 bore revolver,4,nos,237153,P000385
SZ000557,INC001281,CONTRABAND,Heroin,766,grams,1458525,P000665
SZ000558,INC001284,CASH,Indian currency,6089118,INR,0,P000455
SZ000559,INC001287,CASH,Indian currency,5264279,INR,0,P000713
SZ000560,INC001288,WEAPON,DBBL gun,1,nos,65466,P000808
SZ000561,INC001288,CASH,Indian currency,11971967,INR,0,P000808
SZ000562,INC001290,CONTRABAND,Charas,7.865,kg,427593606,P000640
SZ000563,INC001298,WEAPON,Knife,1,nos,170951,P000379
SZ000564,INC001300,CASH,Indian currency,14309729,INR,0,P000425
SZ000565,INC001302,CASH,Indian currency,15717684,INR,0,P000443
SZ000566,INC001304,CONTRABAND,Methamphetamine,6.721,kg,238003228,P000144
SZ000567,INC001305,CASH,Indian currency,16114684,INR,0,P000551
SZ000568,INC001306,CONTRABAND,Charas,351,grams,9890519,P000148
SZ000569,INC001308,CONTRABAND,Foreign cigarettes,24,nos,877538,P000973
SZ000570,INC001310,CASH,Indian currency,65085,INR,0,P000447
SZ000571,INC001312,CONTRABAND,FICN Rs.2000 notes,2675469,INR face value,430215441,P000589
SZ000572,INC001315,CASH,Indian currency,16594156,INR,0,P000134
SZ000573,INC001317,CONTRABAND,Ganja,11.638,kg,195785300,P000141
SZ000574,INC001317,CASH,Indian currency,17109824,INR,0,P000141
SZ000575,INC001319,CONTRABAND,Country-made pistols,4,nos,5900146,P000514
SZ000576,INC001319,WEAPON,Country-made pistol (katta),3,nos,176093,P000514
SZ000577,INC001321,CONTRABAND,Brown sugar,862,grams,4243244,P000660
SZ000578,INC001323,WEAPON,Improvised explosive material,4,nos,104855,P000037
SZ000579,INC001323,CASH,Indian currency,15735289,INR,0,P000037
SZ000580,INC001324,CASH,Indian currency,7251298,INR,0,P000155
SZ000581,INC001325,CONTRABAND,Opium,349,grams,106981491,P000101
SZ000582,INC001326,WEAPON,Knife,4,nos,49356,P000836
SZ000583,INC001333,CONTRABAND,Star tortoises,812.61,kg,227773344,P000912
SZ000584,INC001335,CONTRABAND,Semi-finished frames,54,nos,86901,P000151
SZ000585,INC001335,WEAPON,SBBL gun,3,nos,278929,P000151
SZ000586,INC001335,CASH,Indian currency,3484465,INR,0,P000151
SZ000587,INC001337,CASH,Indian currency,14011731,INR,0,P000675
SZ000588,INC001338,CONTRABAND,Live cartridges,48,nos,8392586,P000166
SZ000589,INC001338,WEAPON,.32 bore revolver,3,nos,217467,P000166
SZ000590,INC001341,WEAPON,.32 bore revolver,3,nos,233033,P000487
SZ000591,INC001342,CONTRABAND,Chinese firecrackers,9,nos,187143,P000323
SZ000592,INC001343,WEAPON,9mm pistol,2,nos,291150,P000030
SZ000593,INC001347,WEAPON,Knife,6,nos,32824,P000145
SZ000594,INC001347,CASH,Indian currency,11716843,INR,0,P000145
SZ000595,INC001353,WEAPON,Sword,5,nos,95110,P000845
SZ000596,INC001357,CONTRABAND,Live cartridges,15,nos,4107761,P000769
SZ000597,INC001357,WEAPON,Improvised explosive material,1,nos,164728,P000769
SZ000598,INC001364,CASH,Indian currency,8399545,INR,0,P000337
SZ000599,INC001366,CASH,Indian currency,8199132,INR,0,P000439
SZ000600,INC001369,CASH,Indian currency,3903443,INR,0,P000624
SZ000601,INC001372,CONTRABAND,Opium,3.089,kg,399986769,P000119
SZ000602,INC001373,CASH,Indian currency,15505081,INR,0,P000510
SZ000603,INC001375,CASH,Indian currency,12431803,INR,0,P000021
SZ000604,INC001376,CONTRABAND,Tramadol capsules,690,grams,203852034,P000131
SZ000605,INC001379,CASH,Indian currency,1971573,INR,0,P000458
SZ000606,INC001383,CASH,Indian currency,8163261,INR,0,P000713
SZ000607,INC001384,CONTRABAND,Live cartridges,12,nos,19500444,P000833
SZ000608,INC001384,WEAPON,DBBL gun,1,nos,159372,P000833
SZ000609,INC001384,CASH,Indian currency,275233,INR,0,P000833
SZ000610,INC001389,CONTRABAND,Mobile phones,21,nos,1230001,P000860
SZ000611,INC001393,CONTRABAND,Chinese firecrackers,44,nos,777260371,P000601
SZ000612,INC001401,WEAPON,Air weapon,5,nos,295942,P000036
SZ000613,INC001402,CASH,Indian currency,19830747,INR,0,P000492
SZ000614,INC001403,CASH,Indian currency,14458062,INR,0,P000263
SZ000615,INC001404,CASH,Indian currency,17890662,INR,0,P000047
SZ000616,INC001409,CASH,Indian currency,3782677,INR,0,P000890
SZ000617,INC001420,CASH,Indian currency,890407,INR,0,P000921
SZ000618,INC001423,CONTRABAND,FICN Rs.2000 notes,2088837,INR face value,680000032,P000598
SZ000619,INC001427,CONTRABAND,Alprazolam tablets,9.915,kg,9128086,P000945
SZ000620,INC001429,WEAPON,Country-made pistol (katta),5,nos,61504,P000627
SZ000621,INC001430,CONTRABAND,Pangolin scales,537.92,kg,210122657,P000879
SZ000622,INC001431,WEAPON,Knife,4,nos,289995,P000788
SZ000623,INC001432,CONTRABAND,Betel nut (supari),32,nos,16694155,P000872
SZ000624,INC001439,CONTRABAND,Rifle barrels,60,nos,1804817,P000783
SZ000625,INC001439,WEAPON,SBBL gun,2,nos,270484,P000783
SZ000626,INC001440,WEAPON,.32 bore revolver,6,nos,175845,P000973
SZ000627,INC001456,CONTRABAND,Mobile phones,30,nos,42670787,P000346
SZ000628,INC001457,CONTRABAND,Semi-finished frames,28,nos,7889584,P000665
SZ000629,INC001457,WEAPON,Knife,3,nos,142605,P000665
SZ000630,INC001458,CASH,Indian currency,15022098,INR,0,P000126
SZ000631,INC001459,CONTRABAND,Heroin,225,grams,14665889,P000899
SZ000632,INC001463,WEAPON,Improvised explosive material,5,nos,204054,P000799
SZ000633,INC001464,CONTRABAND,Heroin,584,grams,162200913,P000946
SZ000634,INC001465,CONTRABAND,Chinese firecrackers,43,nos,25122647,P000878
SZ000635,INC001466,WEAPON,9mm pistol,3,nos,56370,P000392
SZ000636,INC001466,CASH,Indian currency,17100781,INR,0,P000392
SZ000637,INC001470,CASH,Indian currency,1624586,INR,0,P000142
SZ000638,INC001471,WEAPON,.32 bore revolver,2,nos,273893,P000822
SZ000639,INC001473,CASH,Indian currency,8041202,INR,0,P000490
SZ000640,INC001475,CONTRABAND,Alprazolam tablets,2.482,kg,18026877,P000159
SZ000641,INC001476,CASH,Indian currency,17115492,INR,0,P000798
SZ000642,INC001478,WEAPON,9mm pistol,2,nos,99117,P000395
SZ000643,INC001480,CONTRABAND,Semi-finished frames,37,nos,12719130,P000645
SZ000644,INC001480,WEAPON,Air weapon,2,nos,86622,P000645
SZ000645,INC001483,CASH,Indian currency,7690265,INR,0,P000969
SZ000646,INC001484,CASH,Indian currency,6343409,INR,0,P000739
SZ000647,INC001488,WEAPON,Improvised explosive material,4,nos,26753,P000795
SZ000648,INC001489,CONTRABAND,Ganja,10.721,kg,18012422,P000107
SZ000649,INC001490,CASH,Indian currency,7846418,INR,0,P000444
SZ000650,INC001492,CONTRABAND,Betel nut (supari),3,nos,1421364,P000868
SZ000651,INC001492,CASH,Indian currency,3079387,INR,0,P000868
SZ000652,INC001494,CONTRABAND,Elephant ivory,249.55,kg,259357576,P000867
SZ000653,INC001494,CASH,Indian currency,15762376,INR,0,P000867
SZ000654,INC001496,CONTRABAND,Betel nut (supari),4,nos,591430996,P000350
SZ000655,INC001499,CONTRABAND,Semi-finished frames,47,nos,13950143,P000518
SZ000656,INC001499,WEAPON,Knife,5,nos,288029,P000518
SZ000657,INC001500,CONTRABAND,Chinese firecrackers,45,nos,535897693,P000302
SZ000658,INC001500,CASH,Indian currency,19084373,INR,0,P000302
SZ000659,INC001504,CONTRABAND,Tramadol capsules,0.93,kg,266186723,P000099
SZ000660,INC001507,CONTRABAND,Foreign cigarettes,14,nos,828776476,P000346
SZ000661,INC001507,CASH,Indian currency,579467,INR,0,P000346
SZ000662,INC001509,CASH,Indian currency,18993934,INR,0,P000201
SZ000663,INC001510,WEAPON,SBBL gun,4,nos,252246,P000072
SZ000664,INC001510,CASH,Indian currency,4214267,INR,0,P000072
SZ000665,INC001516,WEAPON,.32 bore revolver,1,nos,43245,P000035
SZ000666,INC001520,CASH,Indian currency,19205078,INR,0,P000079
SZ000667,INC001524,CONTRABAND,Opium,11.169,kg,462430583,P000643
SZ000668,INC001526,WEAPON,Knife,4,nos,69169,P000796
SZ000669,INC001529,CONTRABAND,Country-made pistols,10,nos,7248634,P000109
SZ000670,INC001529,WEAPON,.32 bore revolver,1,nos,112086,P000109
SZ000671,INC001529,CASH,Indian currency,8362185,INR,0,P000109
SZ000672,INC001536,CASH,Indian currency,4520427,INR,0,P000954
SZ000673,INC001540,WEAPON,Improvised explosive material,2,nos,298316,P000122
SZ000674,INC001541,CONTRABAND,Gold biscuits,9,nos,401255941,P000871
SZ000675,INC001544,CASH,Indian currency,5175310,INR,0,P000330
SZ000676,INC001549,CONTRABAND,Live cartridges,57,nos,2198767,P000514
SZ000677,INC001549,WEAPON,Air weapon,6,nos,236551,P000514
SZ000678,INC001551,CASH,Indian currency,14218797,INR,0,P000467
SZ000679,INC001552,WEAPON,SBBL gun,4,nos,219602,P000416
SZ000680,INC001553,CONTRABAND,Betel nut (supari),37,nos,972439996,P000878
SZ000681,INC001554,CONTRABAND,Chinese firecrackers,31,nos,176073,P000334
SZ000682,INC001556,CASH,Indian currency,15596979,INR,0,P000498
SZ000683,INC001562,CONTRABAND,Heroin,11.372,kg,676061783,P000910
SZ000684,INC001563,CONTRABAND,Methamphetamine,4.21,kg,403432102,P000124
SZ000685,INC001569,CASH,Indian currency,2190761,INR,0,P000539
SZ000686,INC001570,CONTRABAND,Methamphetamine,9.568,kg,439649717,P000927
SZ000687,INC001572,CONTRABAND,Star tortoises,302.92,kg,125497343,P000875
SZ000688,INC001575,CONTRABAND,Mobile phones,2,nos,39487982,P000862
SZ000689,INC001579,CASH,Indian currency,19591514,INR,0,P000135
SZ000690,INC001585,WEAPON,SBBL gun,1,nos,125458,P000828
SZ000691,INC001593,CONTRABAND,Pseudoephedrine,865,grams,668436423,P000650
SZ000692,INC001595,CONTRABAND,Country-made pistols,14,nos,2865924,P000136
SZ000693,INC001595,WEAPON,AK-series rifle,5,nos,59051,P000136
SZ000694,INC001596,CASH,Indian currency,6986145,INR,0,P000723
SZ000695,INC001597,CONTRABAND,Alprazolam tablets,686,grams,6110787,P000908
SZ000696,INC001600,CONTRABAND,Alprazolam tablets,11.707,kg,10193536,P000661
SZ000697,INC001604,CASH,Indian currency,8617746,INR,0,P000729
SZ000698,INC001606,WEAPON,Machete (chopper),5,nos,14554,P000799
SZ000699,INC001607,CASH,Indian currency,19697063,INR,0,P000957
SZ000700,INC001615,CASH,Indian currency,8013594,INR,0,P000694
SZ000701,INC001619,CONTRABAND,Semi-finished frames,21,nos,6835573,P000491
SZ000702,INC001619,CASH,Indian currency,1381719,INR,0,P000491
SZ000703,INC001620,CONTRABAND,Ganja,733,grams,701714319,P000995
SZ000704,INC001621,WEAPON,Air weapon,2,nos,84902,P000377
SZ000705,INC001621,CASH,Indian currency,17936728,INR,0,P000377
SZ000706,INC001623,CONTRABAND,Country-made pistols,28,nos,6697350,P000161
SZ000707,INC001623,WEAPON,Knife,4,nos,52967,P000161
SZ000708,INC001625,CONTRABAND,Ganja,10.761,kg,9197813,P000646
SZ000709,INC001626,CASH,Indian currency,8020442,INR,0,P000390
SZ000710,INC001628,CASH,Indian currency,14209077,INR,0,P000929
SZ000711,INC001629,CASH,Indian currency,16570200,INR,0,P000318
SZ000712,INC001630,CONTRABAND,Tramadol capsules,6.917,kg,616039291,P000988
SZ000713,INC001631,CASH,Indian currency,12272012,INR,0,P000671
SZ000714,INC001637,CASH,Indian currency,8832775,INR,0,P000049
SZ000715,INC001638,CASH,Indian currency,15169477,INR,0,P000902
SZ000716,INC001640,WEAPON,9mm pistol,2,nos,132545,P000783
SZ000717,INC001641,CASH,Indian currency,2492026,INR,0,P000461
SZ000718,INC001644,CASH,Indian currency,3283640,INR,0,P000488
SZ000719,INC001646,CASH,Indian currency,4508578,INR,0,P000355
SZ000720,INC001647,CONTRABAND,Charas,61,grams,12619857,P000163
SZ000721,INC001652,CONTRABAND,Opium,0.72,kg,4713157,P000644
SZ000722,INC001653,WEAPON,Sword,2,nos,106687,P000973
SZ000723,INC001673,CASH,Indian currency,10304042,INR,0,P000698
SZ000724,INC001676,CONTRABAND,Red sanders logs,244.38,kg,28546784,P000851
SZ000725,INC001683,WEAPON,Knife,2,nos,151378,P000382
SZ000726,INC001684,WEAPON,SBBL gun,4,nos,40122,P000843
SZ000727,INC001687,WEAPON,AK-series rifle,3,nos,22770,P000912
SZ000728,INC001689,CONTRABAND,Charas,86,grams,18304517,P000169
SZ000729,INC001689,CASH,Indian currency,15476505,INR,0,P000169
SZ000730,INC001690,CONTRABAND,Intaglio plates,3439623,INR face value,461112038,P000580
SZ000731,INC001691,CONTRABAND,Tiger nails,195.27,kg,249469177,P000946
SZ000732,INC001692,CONTRABAND,Opium,244,grams,77998043,P000118
SZ000733,INC001693,WEAPON,Knife,3,nos,28104,P000041
SZ000734,INC001694,CONTRABAND,Semi-finished frames,10,nos,8591833,P000616
SZ000735,INC001694,WEAPON,.32 bore revolver,5,nos,281900,P000616
SZ000736,INC001695,CASH,Indian currency,2246374,INR,0,P000158
SZ000737,INC001698,WEAPON,Improvised explosive material,3,nos,170038,P000479
SZ000738,INC001699,CASH,Indian currency,19915829,INR,0,P000715
SZ000739,INC001702,WEAPON,Improvised explosive material,6,nos,225559,P000889
SZ000740,INC001703,CONTRABAND,Pangolin scales,444.33,kg,659256831,P000859
SZ000741,INC001705,CASH,Indian currency,13633020,INR,0,P000464
SZ000742,INC001711,CASH,Indian currency,12904051,INR,0,P000345
SZ000743,INC001712,CASH,Indian currency,6535545,INR,0,P000712
SZ000744,INC001714,CONTRABAND,Mobile phones,47,nos,987437,P000580
SZ000745,INC001716,CONTRABAND,Chinese firecrackers,47,nos,1181237,P000350
SZ000746,INC001718,WEAPON,.32 bore revolver,1,nos,71030,P000766
SZ000747,INC001720,CASH,Indian currency,16796865,INR,0,P000720
SZ000748,INC001725,CONTRABAND,Live cartridges,38,nos,16969893,P000506
SZ000749,INC001725,WEAPON,Sword,2,nos,262945,P000506
SZ000750,INC001728,CASH,Indian currency,3004977,INR,0,P000741
SZ000751,INC001730,WEAPON,9mm pistol,3,nos,69104,P000992
SZ000752,INC001732,CASH,Indian currency,9861910,INR,0,P000715
