src,dst,edge_type,weight,attributes
P000677,AC001174,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000677,AC001175,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000678,AC001176,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000678,AC001177,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000679,AC001178,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000679,AC001179,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000680,AC001180,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000681,AC001181,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000682,AC001182,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000683,AC001183,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000683,AC001184,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000683,AC001185,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000683,AC001186,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000683,AC001187,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000684,AC001188,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000685,AC001189,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000686,AC001190,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000686,AC001191,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000687,AC001192,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000688,AC001193,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000689,AC001194,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000689,AC001195,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000689,AC001196,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000689,AC001197,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000689,AC001198,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000690,AC001199,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000690,AC001200,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000690,AC001201,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000691,AC001202,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000691,AC001203,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000691,AC001204,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000691,AC001205,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000691,AC001206,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000692,AC001207,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000692,AC001208,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000693,AC001209,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000694,AC001210,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000694,AC001211,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000695,AC001212,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000695,AC001213,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000695,AC001214,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000696,AC001215,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000696,AC001216,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000697,AC001217,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000698,AC001218,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000699,AC001219,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000700,AC001220,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000700,AC001221,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000701,AC001222,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000701,AC001223,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000702,AC001224,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000702,AC001225,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000703,AC001226,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000704,AC001227,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000705,AC001228,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000706,AC001229,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000706,AC001230,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000707,AC001231,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000708,AC001232,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000709,AC001233,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000709,AC001234,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000710,AC001235,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000711,AC001236,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000712,AC001237,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000712,AC001238,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000713,AC001239,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000714,AC001240,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000714,AC001241,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000715,AC001242,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000715,AC001243,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000716,AC001244,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000717,AC001245,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000718,AC001246,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000718,AC001247,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000719,AC001248,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000719,AC001249,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000719,AC001250,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000720,AC001251,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000721,AC001252,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000721,AC001253,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000722,AC001254,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000722,AC001255,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000723,AC001256,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000723,AC001257,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000723,AC001258,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000724,AC001259,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000724,AC001260,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000724,AC001261,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000725,AC001262,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000726,AC001263,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000727,AC001264,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000727,AC001265,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000727,AC001266,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000728,AC001267,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000729,AC001268,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000729,AC001269,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000730,AC001270,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000730,AC001271,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000730,AC001272,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000730,AC001273,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000730,AC001274,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000731,AC001275,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000732,AC001276,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000733,AC001277,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000733,AC001278,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000734,AC001279,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000735,AC001280,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000735,AC001281,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000735,AC001282,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000736,AC001283,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000736,AC001284,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000737,AC001285,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000737,AC001286,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000737,AC001287,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000737,AC001288,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000738,AC001289,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000738,AC001290,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000738,AC001291,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000738,AC001292,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000738,AC001293,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000739,AC001294,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000740,AC001295,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000741,AC001296,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000741,AC001297,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000741,AC001298,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000741,AC001299,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000741,AC001300,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000742,AC001301,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000743,AC001302,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000744,AC001303,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000745,AC001304,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000746,AC001305,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000747,AC001306,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000747,AC001307,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000748,AC001308,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000748,AC001309,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000748,AC001310,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000748,AC001311,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000748,AC001312,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000749,AC001313,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000750,AC001314,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000750,AC001315,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000751,AC001316,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000752,AC001317,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000753,AC001318,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000754,AC001319,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000755,AC001320,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000755,AC001321,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000755,AC001322,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000756,AC001323,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000757,AC001324,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000758,AC001325,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000759,AC001326,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000759,AC001327,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000760,AC001328,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000760,AC001329,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000761,AC001330,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000762,AC001331,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000763,AC001332,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000764,AC001333,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000765,AC001334,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000765,AC001335,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000765,AC001336,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000766,AC001337,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000767,AC001338,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000767,AC001339,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000768,AC001340,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000769,AC001341,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000770,AC001342,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000771,AC001343,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000772,AC001344,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000772,AC001345,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000773,AC001346,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000773,AC001347,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000773,AC001348,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000773,AC001349,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000774,AC001350,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000774,AC001351,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000775,AC001352,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000776,AC001353,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000776,AC001354,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000776,AC001355,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000776,AC001356,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000776,AC001357,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000777,AC001358,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000777,AC001359,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000778,AC001360,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000778,AC001361,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000778,AC001362,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000778,AC001363,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000779,AC001364,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000779,AC001365,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000780,AC001366,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000781,AC001367,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000782,AC001368,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000782,AC001369,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000783,AC001370,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000783,AC001371,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000783,AC001372,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000783,AC001373,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000784,AC001374,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000785,AC001375,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000786,AC001376,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000787,AC001377,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000788,AC001378,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000788,AC001379,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000789,AC001380,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000789,AC001381,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000789,AC001382,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000790,AC001383,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000790,AC001384,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000791,AC001385,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000791,AC001386,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000792,AC001387,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000793,AC001388,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000794,AC001389,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000795,AC001390,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000796,AC001391,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000797,AC001392,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000797,AC001393,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000798,AC001394,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000798,AC001395,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000799,AC001396,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000799,AC001397,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000799,AC001398,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000800,AC001399,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000800,AC001400,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000801,AC001401,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000802,AC001402,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000803,AC001403,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000803,AC001404,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000804,AC001405,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000804,AC001406,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000805,AC001407,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000805,AC001408,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000806,AC001409,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000806,AC001410,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000807,AC001411,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000808,AC001412,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000808,AC001413,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000809,AC001414,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000810,AC001415,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000810,AC001416,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000811,AC001417,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000811,AC001418,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000812,AC001419,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000812,AC001420,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000813,AC001421,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000813,AC001422,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000813,AC001423,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000813,AC001424,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000814,AC001425,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000814,AC001426,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000815,AC001427,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000816,AC001428,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000816,AC001429,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000817,AC001430,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000818,AC001431,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000818,AC001432,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000819,AC001433,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000819,AC001434,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000820,AC001435,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000820,AC001436,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000820,AC001437,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000820,AC001438,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000821,AC001439,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000822,AC001440,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000823,AC001441,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000824,AC001442,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000825,AC001443,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000826,AC001444,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000827,AC001445,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000828,AC001446,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000828,AC001447,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000829,AC001448,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000829,AC001449,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000829,AC001450,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000830,AC001451,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000830,AC001452,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000830,AC001453,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000831,AC001454,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000832,AC001455,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000833,AC001456,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000834,AC001457,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000834,AC001458,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000834,AC001459,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000835,AC001460,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000835,AC001461,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000836,AC001462,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000837,AC001463,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000838,AC001464,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000839,AC001465,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000840,AC001466,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000840,AC001467,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000840,AC001468,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000840,AC001469,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000841,AC001470,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000842,AC001471,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000843,AC001472,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000843,AC001473,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000844,AC001474,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000844,AC001475,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
P000845,AC001476,CONTROLS_ACCOUNT,1.0,"{""relation"": ""HOLDER""}"
