person_id,org_id,role_in_org,from_date,to_date,is_benami
P000411,ORG000005,FIELD_OPERATIVE,,,0
P000412,ORG000005,MULE,,,0
P000413,ORG000005,COURIER,,,0
P000414,ORG000005,MULE,,,0
P000415,ORG000005,COURIER,,,0
P000416,ORG000005,MULE,,,0
P000417,ORG000006,LOGISTICS,,,0
P000418,ORG000006,FIXER,,,0
P000419,ORG000006,TECH_HANDLER,,,0
P000420,ORG000006,MULE,,,0
P000421,ORG000006,RECRUITER,,,0
P000422,ORG000006,MULE,,,0
P000423,ORG000006,COURIER,,,0
P000424,ORG000006,RECRUITER,,,0
P000425,ORG000006,TECH_HANDLER,,,0
P000426,ORG000006,LIEUTENANT,,,0
P000427,ORG000006,SHOOTER,,,0
P000428,ORG000006,SHOOTER,,,0
P000429,ORG000006,LIEUTENANT,,,0
P000430,ORG000006,LOGISTICS,,,0
P000431,ORG000006,LIEUTENANT,,,0
P000432,ORG000006,HAWALA_OPERATOR,,,0
P000433,ORG000006,MULE,,,0
P000434,ORG000006,FIXER,,,0
P000435,ORG000006,LOGISTICS,,,0
P000436,ORG000006,LOGISTICS,,,0
P000437,ORG000006,RECRUITER,,,0
P000438,ORG000006,FIELD_OPERATIVE,,,0
P000439,ORG000006,FIELD_OPERATIVE,,,0
P000440,ORG000006,SHOOTER,,,0
P000441,ORG000006,FIELD_OPERATIVE,,,0
P000442,ORG000006,LOGISTICS,,,0
P000443,ORG000006,MULE,,,0
P000444,ORG000006,LOGISTICS,,,0
P000445,ORG000006,COURIER,,,0
P000446,ORG000006,CORRUPT_OFFICIAL,,,0
P000447,ORG000006,FIELD_OPERATIVE,,,0
P000448,ORG000006,FIELD_OPERATIVE,,,0
P000449,ORG000006,COURIER,,,0
P000450,ORG000006,FIXER,,,0
P000451,ORG000006,FIELD_OPERATIVE,,,0
P000452,ORG000006,MULE,,,0
P000453,ORG000006,LOGISTICS,,,0
P000454,ORG000006,RECRUITER,,,0
P000455,ORG000006,FIELD_OPERATIVE,,,0
P000456,ORG000006,MULE,,,0
P000457,ORG000006,FENCE,,,0
P000458,ORG000006,MULE,,,0
P000459,ORG000006,CORRUPT_OFFICIAL,,,0
P000460,ORG000006,FINANCIER,,,0
P000461,ORG000006,MULE,,,0
P000462,ORG000006,FIELD_OPERATIVE,,,0
P000463,ORG000006,SHOOTER,,,0
P000464,ORG000006,KINGPIN,,,0
P000465,ORG000006,CORRUPT_OFFICIAL,,,0
P000466,ORG000006,HAWALA_OPERATOR,,,0
P000467,ORG000006,COURIER,,,0
P000468,ORG000006,SHOOTER,,,0
P000469,ORG000006,RECRUITER,,,0
P000470,ORG000006,RECRUITER,,,0
P000471,ORG000006,SHOOTER,,,0
P000472,ORG000007,LIEUTENANT,,,0
P000473,ORG000007,MULE,,,0
P000474,ORG000007,LOGISTICS,,,0
P000475,ORG000007,MULE,,,0
P000476,ORG000007,MULE,,,0
P000477,ORG000007,FIELD_OPERATIVE,,,0
P000478,ORG000007,FIELD_OPERATIVE,,,0
P000479,ORG000007,LOGISTICS,,,0
P000480,ORG000007,RECRUITER,,,0
P000481,ORG000007,COURIER,,,0
P000482,ORG000007,COURIER,,,0
P000483,ORG000007,SHOOTER,,,0
P000484,ORG000007,LOGISTICS,,,0
P000485,ORG000007,HAWALA_OPERATOR,,,0
P000486,ORG000007,MULE,,,0
P000487,ORG000007,RECRUITER,,,0
P000488,ORG000007,MULE,,,0
P000489,ORG000007,MULE,,,0
P000490,ORG000007,CORRUPT_OFFICIAL,,,0
P000491,ORG000007,SHOOTER,,,0
P000492,ORG000007,FIELD_OPERATIVE,,,0
P000493,ORG000007,FIELD_OPERATIVE,,,0
P000494,ORG000007,INFORMANT,,,0
P000495,ORG000007,FENCE,,,0
P000496,ORG000007,FIELD_OPERATIVE,,,0
P000497,ORG000007,KINGPIN,,,0
P000498,ORG000007,LIEUTENANT,,,0
P000499,ORG000007,FIELD_OPERATIVE,,,0
P000500,ORG000007,RECRUITER,,,0
P000501,ORG000007,MULE,,,0
P000502,ORG000007,CORRUPT_OFFICIAL,,,0
P000503,ORG000007,FIELD_OPERATIVE,,,0
P000504,ORG000007,SHOOTER,,,0
P000505,ORG000007,MULE,,,0
P000506,ORG000007,LOGISTICS,,,0
P000507,ORG000007,FENCE,,,0
P000508,ORG000007,FIELD_OPERATIVE,,,0
P000509,ORG000007,RECRUITER,,,0
P000510,ORG000007,LOGISTICS,,,0
P000511,ORG000007,FENCE,,,0
P000512,ORG000007,SHOOTER,,,0
P000513,ORG000007,FIXER,,,0
P000514,ORG000007,LOGISTICS,,,0
P000515,ORG000007,MULE,,,0
P000516,ORG000007,SHOOTER,,,0
P000517,ORG000007,MULE,,,0
P000518,ORG000007,LOGISTICS,,,0
P000519,ORG000008,FIXER,,,0
P000520,ORG000008,LOGISTICS,,,0
P000521,ORG000008,FENCE,,,0
P000522,ORG000008,LOGISTICS,,,0
P000523,ORG000008,RECRUITER,,,0
P000524,ORG000008,HAWALA_OPERATOR,,,0
P000525,ORG000008,MULE,,,0
P000526,ORG000008,MULE,,,0
P000527,ORG000008,FENCE,,,0
P000528,ORG000008,LOGISTICS,,,0
P000529,ORG000008,RECRUITER,,,0
P000530,ORG000008,FIXER,,,0
P000531,ORG000008,RECRUITER,,,0
P000532,ORG000008,SHOOTER,,,0
P000533,ORG000008,MULE,,,0
P000534,ORG000008,TECH_HANDLER,,,0
P000535,ORG000008,LOGISTICS,,,0
P000536,ORG000008,FIELD_OPERATIVE,,,0
P000537,ORG000008,SHOOTER,,,0
P000538,ORG000008,TECH_HANDLER,,,0
P000539,ORG000008,FENCE,,,0
P000540,ORG000008,CORRUPT_OFFICIAL,,,0
P000541,ORG000008,MULE,,,0
P000542,ORG000008,FIELD_OPERATIVE,,,0
P000543,ORG000008,HAWALA_OPERATOR,,,0
P000544,ORG000008,FENCE,,,0
P000545,ORG000008,INFORMANT,,,0
P000546,ORG000008,MULE,,,0
P000547,ORG000008,FIELD_OPERATIVE,,,0
P000548,ORG000008,FIELD_OPERATIVE,,,0
P000549,ORG000008,FIELD_OPERATIVE,,,0
P000550,ORG000008,COURIER,,,0
P000551,ORG000008,LIEUTENANT,,,0
P000552,ORG000008,FIELD_OPERATIVE,,,0
P000553,ORG000008,LOGISTICS,,,0
P000554,ORG000008,FINANCIER,,,0
P000555,ORG000008,LIEUTENANT,,,0
P000556,ORG000008,KINGPIN,,,0
P000557,ORG000008,TECH_HANDLER,,,0
P000558,ORG000008,FINANCIER,,,0
P000559,ORG000008,SHOOTER,,,0
P000560,ORG000008,FINANCIER,,,0
P000561,ORG000008,LIEUTENANT,,,0
P000562,ORG000008,HAWALA_OPERATOR,,,0
P000563,ORG000008,CORRUPT_OFFICIAL,,,0
P000564,ORG000008,FINANCIER,,,0
P000565,ORG000008,FIELD_OPERATIVE,,,0
P000566,ORG000008,FIELD_OPERATIVE,,,0
P000567,ORG000008,FENCE,,,0
P000568,ORG000008,TECH_HANDLER,,,0
P000569,ORG000008,HAWALA_OPERATOR,,,0
P000570,ORG000009,COURIER,,,0
P000571,ORG000009,FIELD_OPERATIVE,,,0
P000572,ORG000009,FIXER,,,0
P000573,ORG000009,FENCE,,,0
P000574,ORG000009,SHOOTER,,,0
P000575,ORG000009,FENCE,,,0
P000576,ORG000009,FIXER,,,0
P000577,ORG000009,COURIER,,,0
P000578,ORG000009,INFORMANT,,,0
P000579,ORG000009,LIEUTENANT,,,0
P000580,ORG000009,LIEUTENANT,,,0
P000581,ORG000009,RECRUITER,,,0
P000582,ORG000009,COURIER,,,0
P000583,ORG000009,COURIER,,,0
P000584,ORG000009,MULE,,,0
P000585,ORG000009,FIXER,,,0
P000586,ORG000009,FIELD_OPERATIVE,,,0
P000587,ORG000009,FIELD_OPERATIVE,,,0
P000588,ORG000009,RECRUITER,,,0
P000589,ORG000009,LOGISTICS,,,0
P000590,ORG000009,FIELD_OPERATIVE,,,0
P000591,ORG000009,FINANCIER,,,0
P000592,ORG000009,FIELD_OPERATIVE,,,0
P000593,ORG000009,FENCE,,,0
P000594,ORG000009,CORRUPT_OFFICIAL,,,0
P000595,ORG000009,RECRUITER,,,0
P000596,ORG000009,SHOOTER,,,0
P000597,ORG000009,MULE,,,0
P000598,ORG000009,LOGISTICS,,,0
P000599,ORG000009,COURIER,,,0
P000600,ORG000009,MULE,,,0
P000601,ORG000009,CORRUPT_OFFICIAL,,,0
P000602,ORG000009,SHOOTER,,,0
P000603,ORG000009,FIELD_OPERATIVE,,,0
P000604,ORG000009,FIELD_OPERATIVE,,,0
P000605,ORG000009,FIELD_OPERATIVE,,,0
P000606,ORG000009,FIELD_OPERATIVE,,,0
P000607,ORG000009,FIXER,,,0
P000608,ORG000009,COURIER,,,0
P000609,ORG000009,SHOOTER,,,0
P000610,ORG000009,KINGPIN,,,0
P000611,ORG000010,SHOOTER,,,0
P000612,ORG000010,LIEUTENANT,,,0
P000613,ORG000010,FIELD_OPERATIVE,,,0
P000614,ORG000010,FIXER,,,0
P000615,ORG000010,LIEUTENANT,,,0
P000616,ORG000010,MULE,,,0
P000617,ORG000010,MULE,,,0
P000618,ORG000010,FIELD_OPERATIVE,,,0
P000619,ORG000010,COURIER,,,0
P000620,ORG000010,FIELD_OPERATIVE,,,0
P000621,ORG000010,SHOOTER,,,0
P000622,ORG000010,FIELD_OPERATIVE,,,0
P000623,ORG000010,LOGISTICS,,,0
P000624,ORG000010,INFORMANT,,,0
P000625,ORG000010,KINGPIN,,,0
P000626,ORG000010,COURIER,,,0
P000627,ORG000010,RECRUITER,,,0
P000628,ORG000010,LOGISTICS,,,0
P000629,ORG000010,MULE,,,0
P000630,ORG000010,COURIER,,,0
P000631,ORG000010,FINANCIER,,,0
P000632,ORG000010,FIELD_OPERATIVE,,,0
P000633,ORG000010,LIEUTENANT,,,0
P000634,ORG000010,MULE,,,0
P000635,ORG000010,MULE,,,0
P000636,ORG000010,MULE,,,0
P000637,ORG000010,MULE,,,0
P000638,ORG000010,MULE,,,0
P000639,ORG000010,MULE,,,0
P000640,ORG000010,MULE,,,0
P000641,ORG000010,COURIER,,,0
P000642,ORG000010,MULE,,,0
P000643,ORG000010,FIELD_OPERATIVE,,,0
P000644,ORG000010,FIELD_OPERATIVE,,,0
P000645,ORG000010,RECRUITER,,,0
P000646,ORG000010,HAWALA_OPERATOR,,,0
P000647,ORG000010,FIELD_OPERATIVE,,,0
P000648,ORG000010,FIELD_OPERATIVE,,,0
P000649,ORG000010,FIELD_OPERATIVE,,,0
P000650,ORG000010,TECH_HANDLER,,,0
P000651,ORG000010,MULE,,,0
P000652,ORG000010,TECH_HANDLER,,,0
P000653,ORG000010,FIELD_OPERATIVE,,,0
P000654,ORG000010,MULE,,,0
P000655,ORG000010,HAWALA_OPERATOR,,,0
P000656,ORG000010,COURIER,,,0
P000657,ORG000010,FIELD_OPERATIVE,,,0
P000658,ORG000010,LOGISTICS,,,0
P000659,ORG000010,COURIER,,,0
P000660,ORG000010,FIELD_OPERATIVE,,,0
P000661,ORG000010,FINANCIER,,,0
P000662,ORG000010,LOGISTICS,,,0
P000663,ORG000010,RECRUITER,,,0
P000664,ORG000010,MULE,,,0
P000665,ORG000010,FIELD_OPERATIVE,,,0
P000666,ORG000011,FIELD_OPERATIVE,,,0
P000667,ORG000011,MULE,,,0
P000668,ORG000011,MULE,,,0
P000669,ORG000011,MULE,,,0
P000670,ORG000011,COURIER,,,0
P000671,ORG000011,FIELD_OPERATIVE,,,0
P000672,ORG000011,MULE,,,0
P000673,ORG000011,FIELD_OPERATIVE,,,0
P000674,ORG000011,FIELD_OPERATIVE,,,0
P000675,ORG000011,MULE,,,0
P000676,ORG000011,MULE,,,0
P000677,ORG000011,FIELD_OPERATIVE,,,0
P000678,ORG000011,FIELD_OPERATIVE,,,0
P000679,ORG000011,CORRUPT_OFFICIAL,,,0
P000680,ORG000011,MULE,,,0
P000681,ORG000011,FIELD_OPERATIVE,,,0
P000682,ORG000011,RECRUITER,,,0
P000683,ORG000011,FINANCIER,,,0
P000684,ORG000011,RECRUITER,,,0
P000685,ORG000011,FENCE,,,0
P000686,ORG000011,FIELD_OPERATIVE,,,0
P000687,ORG000011,MULE,,,0
P000688,ORG000011,FIELD_OPERATIVE,,,0
P000689,ORG000011,FINANCIER,,,0
P000690,ORG000011,MULE,,,0
P000691,ORG000011,FINANCIER,,,0
P000692,ORG000011,MULE,,,0
P000693,ORG000011,LIEUTENANT,,,0
P000694,ORG000011,COURIER,,,0
P000695,ORG000011,KINGPIN,,,0
P000696,ORG000011,FIELD_OPERATIVE,,,0
P000697,ORG000011,FIELD_OPERATIVE,,,0
P000698,ORG000011,FIELD_OPERATIVE,,,0
P000699,ORG000011,RECRUITER,,,0
P000700,ORG000011,MULE,,,0
P000701,ORG000011,MULE,,,0
P000702,ORG000011,MULE,,,0
P000703,ORG000011,FIELD_OPERATIVE,,,0
P000704,ORG000011,COURIER,,,0
P000705,ORG000011,TECH_HANDLER,,,0
P000706,ORG000011,FIELD_OPERATIVE,,,0
P000707,ORG000011,LIEUTENANT,,,0
P000708,ORG000011,RECRUITER,,,0
P000709,ORG000011,RECRUITER,,,0
P000710,ORG000011,CORRUPT_OFFICIAL,,,0
P000711,ORG000011,INFORMANT,,,0
P000712,ORG000011,FIELD_OPERATIVE,,,0
P000713,ORG000012,RECRUITER,,,0
P000714,ORG000012,MULE,,,0
P000715,ORG000012,FIELD_OPERATIVE,,,0
P000716,ORG000012,FIELD_OPERATIVE,,,0
P000717,ORG000012,CORRUPT_OFFICIAL,,,0
P000718,ORG000012,FIELD_OPERATIVE,,,0
P000719,ORG000012,MULE,,,0
P000720,ORG000012,FIELD_OPERATIVE,,,0
P000721,ORG000012,FIELD_OPERATIVE,,,0
P000722,ORG000012,LIEUTENANT,,,0
P000723,ORG000012,FINANCIER,,,0
P000724,ORG000012,FINANCIER,,,0
P000725,ORG000012,LIEUTENANT,,,0
P000726,ORG000012,COURIER,,,0
P000727,ORG000012,MULE,,,0
P000728,ORG000012,RECRUITER,,,0
P000729,ORG000012,LIEUTENANT,,,0
P000730,ORG000012,FINANCIER,,,0
P000731,ORG000012,CORRUPT_OFFICIAL,,,0
P000732,ORG000012,FIELD_OPERATIVE,,,0
P000733,ORG000012,MULE,,,0
P000734,ORG000012,MULE,,,0
P000735,ORG000012,TECH_HANDLER,,,0
P000736,ORG000012,FIELD_OPERATIVE,,,0
P000737,ORG000012,KINGPIN,,,0
P000738,ORG000012,FINANCIER,,,0
P000739,ORG000012,RECRUITER,,,0
P000740,ORG000012,FIELD_OPERATIVE,,,0
P000741,ORG000012,HAWALA_OPERATOR,,,0
P000742,ORG000012,FIELD_OPERATIVE,,,0
P000743,ORG000012,FIELD_OPERATIVE,,,0
P000744,ORG000012,COURIER,,,0
P000745,ORG000012,FIELD_OPERATIVE,,,0
P000746,ORG000012,FIELD_OPERATIVE,,,0
P000747,ORG000012,FENCE,,,0
P000748,ORG000012,FINANCIER,,,0
P000749,ORG000012,FIELD_OPERATIVE,,,0
P000750,ORG000012,RECRUITER,,,0
P000751,ORG000012,FIELD_OPERATIVE,,,0
P000752,ORG000012,FIELD_OPERATIVE,,,0
P000753,ORG000012,FIELD_OPERATIVE,,,0
P000754,ORG000012,FIELD_OPERATIVE,,,0
P000755,ORG000012,MULE,,,0
P000756,ORG000012,TECH_HANDLER,,,0
P000757,ORG000012,RECRUITER,,,0
P000758,ORG000012,FIELD_OPERATIVE,,,0
P000759,ORG000012,MULE,,,0
P000760,ORG000012,FIELD_OPERATIVE,,,0
P000761,ORG000012,LOGISTICS,,,0
P000762,ORG000012,FIELD_OPERATIVE,,,0
P000763,ORG000012,MULE,,,0
P000764,ORG000013,FIELD_OPERATIVE,,,0
P000765,ORG000013,HAWALA_OPERATOR,,,0
P000766,ORG000013,FIELD_OPERATIVE,,,0
P000767,ORG000013,FIELD_OPERATIVE,,,0
P000768,ORG000013,FIELD_OPERATIVE,,,0
P000769,ORG000013,INFORMANT,,,0
P000770,ORG000013,FIELD_OPERATIVE,,,0
P000771,ORG000013,FIELD_OPERATIVE,,,0
P000772,ORG000013,FIELD_OPERATIVE,,,0
P000773,ORG000013,FINANCIER,,,0
P000774,ORG000013,SHOOTER,,,0
P000775,ORG000013,FIELD_OPERATIVE,,,0
P000776,ORG000013,FINANCIER,,,0
P000777,ORG000013,FIELD_OPERATIVE,,,0
P000778,ORG000013,FINANCIER,,,0
P000779,ORG000013,FIELD_OPERATIVE,,,0
P000780,ORG000013,SHOOTER,,,0
P000781,ORG000013,SHOOTER,,,0
P000782,ORG000013,FIELD_OPERATIVE,,,0
P000783,ORG000013,FINANCIER,,,0
P000784,ORG000013,FIELD_OPERATIVE,,,0
P000785,ORG000013,LOGISTICS,,,0
P000786,ORG000013,SHOOTER,,,0
P000787,ORG000013,COURIER,,,0
P000788,ORG000013,FIELD_OPERATIVE,,,0
P000789,ORG000013,FINANCIER,,,0
P000790,ORG000013,FIXER,,,0
P000791,ORG000013,FIELD_OPERATIVE,,,0
P000792,ORG000013,LIEUTENANT,,,0
P000793,ORG000013,FIELD_OPERATIVE,,,0
P000794,ORG000013,LIEUTENANT,,,0
P000795,ORG000013,INFORMANT,,,0
P000796,ORG000013,TECH_HANDLER,,,0
P000797,ORG000013,KINGPIN,,,0
P000798,ORG000013,MULE,,,0
P000799,ORG000013,TECH_HANDLER,,,0
P000800,ORG000013,COURIER,,,0
P000801,ORG000014,FIELD_OPERATIVE,,,0
P000802,ORG000014,LOGISTICS,,,0
P000803,ORG000014,CORRUPT_OFFICIAL,,,0
P000804,ORG000014,COURIER,,,0
P000805,ORG000014,COURIER,,,0
P000806,ORG000014,FIELD_OPERATIVE,,,0
P000807,ORG000014,TECH_HANDLER,,,0
P000808,ORG000014,FIELD_OPERATIVE,,,0
P000809,ORG000014,SHOOTER,,,0
P000810,ORG000014,RECRUITER,,,0
P000811,ORG000014,LOGISTICS,,,0
P000812,ORG000014,RECRUITER,,,0
P000813,ORG000014,HAWALA_OPERATOR,,,0
P000814,ORG000014,FIELD_OPERATIVE,,,0
P000815,ORG000014,SHOOTER,,,0
P000816,ORG000014,MULE,,,0
P000817,ORG000014,LOGISTICS,,,0
P000818,ORG000014,SHOOTER,,,0
P000819,ORG000014,SHOOTER,,,0
P000820,ORG000014,HAWALA_OPERATOR,,,0
P000821,ORG000014,SHOOTER,,,0
P000822,ORG000014,SHOOTER,,,0
P000823,ORG000014,FENCE,,,0
P000824,ORG000014,COURIER,,,0
P000825,ORG000014,COURIER,,,0
P000826,ORG000014,SHOOTER,,,0
P000827,ORG000014,SHOOTER,,,0
P000828,ORG000014,SHOOTER,,,0
P000829,ORG000014,FINANCIER,,,0
P000830,ORG000014,KINGPIN,,,0
P000831,ORG000014,FENCE,,,0
P000832,ORG000014,FIELD_OPERATIVE,,,0
P000833,ORG000014,LIEUTENANT,,,0
P000834,ORG000014,TECH_HANDLER,,,0
P000835,ORG000014,SHOOTER,,,0
P000836,ORG000014,FIELD_OPERATIVE,,,0
P000837,ORG000014,SHOOTER,,,0
P000838,ORG000014,LOGISTICS,,,0
P000839,ORG000014,FIELD_OPERATIVE,,,0
P000840,ORG000014,FINANCIER,,,0
P000841,ORG000014,COURIER,,,0
P000842,ORG000014,RECRUITER,,,0
P000843,ORG000014,LIEUTENANT,,,0
P000844,ORG000014,FIXER,,,0
P000845,ORG000014,FENCE,,,0
P000846,ORG000015,MULE,,,0
P000847,ORG000015,INFORMANT,,,0
P000848,ORG000015,LIEUTENANT,,,0
P000849,ORG000015,COURIER,,,0
P000850,ORG000015,FENCE,,,0
P000851,ORG000015,FENCE,,,0
P000852,ORG000015,COURIER,,,0
P000853,ORG000015,LOGISTICS,,,0
P000854,ORG000015,FINANCIER,,,0
P000855,ORG000015,MULE,,,0
P000856,ORG000015,FINANCIER,,,0
P000857,ORG000015,FIELD_OPERATIVE,,,0
P000858,ORG000015,FENCE,,,0
P000859,ORG000015,KINGPIN,,,0
P000860,ORG000015,FINANCIER,,,0
P000861,ORG000015,RECRUITER,,,0
P000862,ORG000015,FIXER,,,0
P000863,ORG000015,FIELD_OPERATIVE,,,0
P000864,ORG000015,FIELD_OPERATIVE,,,0
P000865,ORG000015,FINANCIER,,,0
P000866,ORG000015,FINANCIER,,,0
P000867,ORG000015,MULE,,,0
P000868,ORG000015,HAWALA_OPERATOR,,,0
P000869,ORG000015,MULE,,,0
P000870,ORG000015,COURIER,,,0
P000871,ORG000015,MULE,,,0
P000872,ORG000015,FIXER,,,0
P000873,ORG000015,LIEUTENANT,,,0
P000874,ORG000015,FIXER,,,0
P000875,ORG000015,FENCE,,,0
P000876,ORG000015,RECRUITER,,,0
P000877,ORG000015,FIELD_OPERATIVE,,,0
P000878,ORG000015,FIELD_OPERATIVE,,,0
P000879,ORG000015,SHOOTER,,,0
P000880,ORG000015,LOGISTICS,,,0
